IVA_COMPANY_RATING,COMPANY_NAME,ENVIRONMENTAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,IVA_INDUSTRY,WEIGHTED_AVERAGE_SCORE
B,Yodoko,3.2,3.3,3.2,Steel,3.3
A,Mitsui Mining,3.5,5.3,6.3,Metals and Mining - Non-Precious Metals,4.9
A,UACJ,4.2,5.7,6.0,Metals and Mining - Non-Precious Metals,5.2
BBB,Far East Consortium,4.8,4.5,5.8,Real Estate Development & Diversified Activities,4.9
BBB,AACo,0.7,7.5,4.8,Food Products,4.4
A,POSCO Chemical,4.8,3.6,5.1,Construction Materials,4.5
BBB,Zhejiang Expressway,6.1,4.6,5.1,Transportation Infrastructure,5.1
A,Konami,8.3,5.5,5.5,Media & Entertainment,5.6
A,Mitsubishi Electric,6.7,5.4,5.1,Electrical Equipment,5.8
AAA,Fujitsu,8.4,7.0,5.9,Software & Services,6.6
A,NTT,10.0,4.7,6.7,Telecommunication Services,6.1
AAA,Sony,8.9,8.7,5.8,Household Durables,7.2
BB,Tsubakimoto,4.3,6.0,3.5,Industrial Machinery,4.9
AAA,Brambles,9.7,7.1,7.8,Commercial Services & Supplies,8.1
A,Ashok Leyland,4.3,4.8,5.5,Construction & Farm Machinery & Heavy Trucks,4.9
BB,Sankyo,6.1,3.6,4.8,Leisure Products,4.3
BB,Nisshin Seifun,3.1,5.0,6.3,Food Products,4.5
BBB,GYBYS ,10.0,3.6,8.2,Health Care Providers & Services,5.2
A,Bumrungrad,7.2,3.6,7.0,Health Care Providers & Services,5.8
BB,ValueCommerce,6.6,4.1,4.1,Media & Entertainment,4.2
BB,Vstec Holdings,2.9,5.3,2.4,"Electronic Equipment, Instruments & Components",4.0
B,Netdragon,7.9,3.6,4.2,Media & Entertainment,4.1
BB,Isuzu,5.0,5.9,3.7,Automobiles,4.8
B,Mitsubishi Motors,6.6,3.7,1.9,Automobiles,3.9
BBB,The Nisshin OilliO Group,3.7,4.7,6.2,Food Products,4.7
AAA,Itochu,6.1,7.8,9.2,Trading Companies & Distributors,7.8
BB,Fujimori Kogyo,4.0,3.8,0.0,Commodity Chemicals,3.5
AA,Resona Holdings,5.6,5.2,5.7,Banks,5.5
A,Mitsui,4.5,6.1,7.0,Trading Companies & Distributors,6.1
A,Canon MJ,3.3,4.5,7.8,"Electronic Equipment, Instruments & Components",5.5
A,Toshiba Tec,2.3,4.7,5.9,"Technology Hardware, Storage & Peripherals",4.6
B,Sanken Electric,5.6,4.7,2.5,Semiconductors & Semiconductor Equipment,4.4
BB,Takashimaya,3.9,3.1,4.3,Retail - Consumer Discretionary,3.9
BB,"""JAFCO Group",7.0,6.3,3.3,Asset Management & Custody Banks,4.7
AAA,HOYA,8.2,7.7,6.1,Health Care Equipment & Supplies,7.2
AA,Nitto Group,7.2,5.4,5.7,Specialty Chemicals,6.4
BB,Road King Infrastructure,4.2,5.1,3.3,Real Estate Development & Diversified Activities,4.3
BB,Pacific Textiles,2.1,4.0,5.5,"Textiles, Apparel & Luxury Goods",4.0
AA,Lynas,3.4,7.5,6.0,Metals and Mining - Non-Precious Metals,5.5
A,Magellan Financial,8.7,7.0,4.3,Asset Management & Custody Banks,5.7
BBB,Mount Gibson Iron,1.7,7.3,4.2,Steel,4.2
BBB,MDI,2.4,6.2,2.8,Pharmaceuticals,3.9
B,Mesoblast,5.2,6.4,3.0,Biotechnology,4.4
A,MONEY3,7.0,7.3,3.7,Consumer Finance,5.1
B,Seiren,3.4,2.8,3.5,"Textiles, Apparel & Luxury Goods",3.2
A,Rengo,5.4,4.6,6.4,Containers & Packaging,5.3
BB,Kanto Denka,5.0,2.6,1.1,Specialty Chemicals,3.6
BBB,Sumitomo Bakelite,6.3,4.8,1.3,Specialty Chemicals,5.1
BB,Central Glass,4.6,4.0,6.4,Building Products,5.0
B,Osaka Soda,3.6,3.6,2.0,Specialty Chemicals,3.4
BBB,SmarTone,8.3,4.8,5.0,Telecommunication Services,5.1
BB,SPC,3.6,4.0,3.2,Commodity Chemicals,3.7
BBB,Shanghai Industrial Holdings (SIHL),5.0,4.1,5.3,Industrial Conglomerates,4.7
B,Riken Vitamin,3.6,4.1,4.9,Food Products,4.1
AA,ResortTrust,4.9,4.3,7.3,Hotels & Travel,5.6
BBB,Sanyo Special Steel,3.4,5.7,5.3,Steel,4.6
BB,Takasago,5.6,3.2,2.5,Specialty Chemicals,4.4
BBB,FANCL,3.0,5.9,3.6,Household & Personal Products,4.2
BB,JCU,4.8,5.1,0.4,Specialty Chemicals,4.3
BB,Rohto,2.4,5.1,3.6,Household & Personal Products,3.7
BB,Sosei Group,2.4,6.0,2.3,Pharmaceuticals,3.5
AA,Duskin,10.0,5.5,8.8,Commercial Services & Supplies,7.2
BBB,Aeon,9.3,4.0,4.5,Consumer Finance,4.6
AA,Perenti,3.8,6.7,4.3,Metals and Mining - Non-Precious Metals,4.9
AA,Spark NZ,10.0,7.5,5.5,Telecommunication Services,6.5
BBB,CLEANAWAY WASTE MANAGEMENT LIMITED (Cleanaway),2.5,7.9,4.6,Commercial Services & Supplies,5.1
BB,Fudan-Zhangjiang,3.1,3.8,2.5,Pharmaceuticals,3.0
A,CSPC,5.5,4.9,4.4,Pharmaceuticals,4.7
BB,Tadano,3.7,5.2,4.9,Construction & Farm Machinery & Heavy Trucks,4.7
BB,Pinnacle Investment,10.0,7.5,2.1,Asset Management & Custody Banks,4.8
AA,Daifuku,5.4,5.8,8.5,Industrial Machinery,6.2
A,Whitehaven Coal,1.8,8.7,4.7,Metals and Mining - Non-Precious Metals,4.9
B,Max,4.6,4.1,5.5,Industrial Machinery,4.5
A,Meidensha,6.0,4.1,7.8,Industrial Machinery,5.5
BBB,Vital,5.1,7.7,2.0,Real Estate Management & Services,5.5
BB,Nissin Electric,5.2,2.9,8.7,Electrical Equipment,5.1
BB,JM Financial,2.5,5.5,3.3,Investment Banking & Brokerage,4.0
A,China Resources Gas,8.7,4.6,8.3,Utilities,6.5
B,Wacom,2.1,5.1,2.7,"Technology Hardware, Storage & Peripherals",3.5
AA,Panasonic,8.2,5.4,4.3,Household Durables,5.7
A,Nihon Kohden,10.0,4.9,5.3,Health Care Equipment & Supplies,5.4
CCC,Wangfujing Group,2.9,3.6,1.2,Retail - Consumer Discretionary,2.3
A,BoCom,4.8,4.3,5.4,Banks,5.0
CCC,Shenghe Resources,1.8,2.0,1.8,Metals and Mining - Non-Precious Metals,1.9
BBB,China Minsheng Bank,4.5,5.9,4.5,Banks,5.0
A,CP All Public,3.6,3.1,6.9,Retail - Food & Staples,5.2
B,JW Pharmaceutical,1.8,2.4,2.7,Pharmaceuticals,2.5
B,Daesang,1.5,4.2,4.9,Food Products,3.3
A,Ichikoh,4.1,2.3,7.7,Auto Components,4.8
A,Mazda,5.4,5.3,3.5,Automobiles,4.7
A,Kumagai Gumi Co.,4.7,4.8,7.0,Construction & Engineering,5.3
AA,LITE-ON,4.5,4.8,5.9,"Technology Hardware, Storage & Peripherals",5.2
BB,PT MNC,6.7,2.3,6.0,Media & Entertainment,4.1
AA,Hua Nan Financial,3.5,6.4,5.4,Banks,5.5
AA,Mega Financial,5.7,5.2,6.0,Banks,5.7
BBB,TS Tech,2.9,4.2,5.3,Auto Components,4.4
BB,Sinochem,5.1,6.2,2.2,Diversified Chemicals,5.1
CCC,Fiberhome,3.8,2.5,3.1,"Technology Hardware, Storage & Peripherals",3.0
A,Sinbon,5.4,5.3,5.3,"Electronic Equipment, Instruments & Components",5.3
AA,Sinopac Financial Holdings,7.4,6.3,5.2,Banks,5.8
BB,Gamuda,3.7,5.7,2.5,Construction & Engineering,4.6
BB,The Gunma Bank,2.6,4.5,4.0,Banks,4.0
CCC,TKG Huchems,2.9,2.9,0.0,Specialty Chemicals,2.5
B,Hanall,2.4,1.6,3.0,Pharmaceuticals,2.5
